"  Fudgy coconut brownies ","Dense and gooey, these storecupboard treats are made with cocoa rather than bars of chocolate"," 1 hour"," Easy","yes"
"  Tomato soup ","To make the tastiest tomato soup you’ll ever experience wait until the tomatoes are at their most ripe and juicy, around September..."," 1 hour and 45 mins"," Easy","yes"
"  Cajun fried shrimp ","Fry up a batch of crispy Cajun spiced shrimps – they are completely addictive. Put the beer on ice, too, for an informal dinner with friends and family..."," 40 mins"," Easy","no"
